d_k,escala,desvio_padrao_scores,peso_maximo_medio,entropia_normalizada,sensibilidade_do_softmax,norma_gradiente_scores
2,com,0.956684148311615,0.09386195838451386,0.9029354095458985,0.9607785999774933,0.1764921098947525
2,sem,1.3529556751251222,0.1504919096827507,0.8298392534255982,0.9298563599586487,0.2146952524781227
8,com,1.005714201927185,0.10842194482684135,0.8868376255035401,0.9590300500392914,0.19156791865825654
8,sem,2.8445893049240114,0.4320660769939423,0.4936505019664764,0.7097460091114044,0.30016803592443464
32,com,0.9953302085399628,0.1073689453303814,0.8869657337665557,0.9608494997024536,0.17716051489114762
32,sem,5.630437850952148,0.7002784967422485,0.2165759399533272,0.40979365110397337,0.24042706079781057
128,com,0.9967286050319671,0.10649126321077347,0.8876412332057952,0.9618168413639069,0.18228421807289125
128,sem,11.276696586608887,0.8586207032203674,0.09075642824172973,0.1995649218559265,0.14313500233838566
512,com,1.0105735063552856,0.10672942996025085,0.8850265681743622,0.9609573960304261,0.18221067935228347
512,sem,22.86666774749756,0.9285391628742218,0.04338441267609596,0.10222180411219597,0.14014487730710243
2048,com,1.0025329053401948,0.10718746781349182,0.8868338823318481,0.9615294814109803,0.19657579064369202
2048,sem,45.36945915222168,0.9714154958724975,0.018157429061830044,0.04307038187980652,0.05013254850755402
