posicao,token,posicoes_visiveis_com_mascara,peso_maximo_com_mascara,peso_maximo_sem_mascara,atencao_ao_proprio_token
0,I,1,1.0,0.13587959110736847,1.0
1,H,2,0.5547147393226624,0.07935523986816406,0.5547147393226624
2,AD,3,0.48367199301719666,0.09285813570022583,0.48367199301719666
3,always,4,0.3739619851112366,0.1657952219247818,0.3739619851112366
4,thought,5,0.3726712167263031,0.11016745865345001,0.06852152198553085
5,Jack,6,0.3808334171772003,0.10026078671216965,0.09227395057678223
6,G,7,0.31441277265548706,0.12123390287160873,0.048372138291597366
7,is,8,0.22855418920516968,0.10484269261360168,0.15354302525520325
8,burn,9,0.23409421741962433,0.08939298987388611,0.19515055418014526
9,rather,10,0.2062501311302185,0.11514604836702347,0.2062501311302185
10,a,11,0.149302676320076,0.07532043755054474,0.0374528244137764
11,cheap,12,0.20940318703651428,0.1433771252632141,0.1012663021683693
12,genius,13,0.349259614944458,0.18447551131248474,0.03759969770908356
13,--,14,0.19286930561065674,0.15170124173164368,0.055318526923656464
14,though,15,0.21625100076198578,0.13640561699867249,0.14602188766002655
15,a,16,0.14407938718795776,0.1038859561085701,0.04139701649546623
16,good,17,0.18592430651187897,0.11523549258708954,0.044004760682582855
17,fellow,18,0.1387109011411667,0.09521922469139099,0.032681893557310104
18,enough,19,0.15319715440273285,0.11904203146696091,0.051619186997413635
19,--,20,0.11200371384620667,0.0976349413394928,0.07106854766607285
20,so,21,0.2605357766151428,0.2230178862810135,0.010956994257867336
21,it,22,0.16791565716266632,0.15514586865901947,0.04260328412055969
22,was,23,0.1489976942539215,0.14584790170192719,0.02199009247124195
23,no,24,0.09374751150608063,0.09374751150608063,0.017755648121237755
